Idx,Idx,Open,High,Low,Close,Volume,Date
0,0,255.25,258.7900085449219,255.0500030517578,256.1614074707031,9677443,2025-10-01 09:30:00
1,1,256.17999267578125,256.2590026855469,255.10000610351562,255.52450561523438,2972074,2025-10-01 10:30:00
2,2,255.5301055908203,256.9200134277344,255.50999450683594,256.1600036621094,2338742,2025-10-01 11:30:00
3,3,256.1636047363281,256.8298034667969,255.85499572753906,256.1404113769531,1826687,2025-10-01 12:30:00
4,4,256.1650085449219,256.6859130859375,256.05999755859375,256.4849853515625,10115926,2025-10-01 13:30:00
5,5,256.4800109863281,256.94000244140625,255.8699951171875,255.94000244140625,2751615,2025-10-01 14:30:00
6,6,255.94000244140625,256.1400146484375,255.27999877929688,255.41000366210938,4879162,2025-10-01 15:30:00
7,7,256.5899963378906,257.29998779296875,254.14999389648438,256.2200927734375,11570169,2025-10-02 09:30:00
8,8,256.2300109863281,257.6400146484375,255.97000122070312,257.1650085449219,4800305,2025-10-02 10:30:00
9,9,257.1499938964844,258.17999267578125,256.72100830078125,257.3450012207031,4388406,2025-10-02 11:30:00
10,10,257.3450012207031,257.8226013183594,257.1138916015625,257.4100036621094,2290319,2025-10-02 12:30:00
11,11,257.3900146484375,257.9100036621094,257.0299987792969,257.8800048828125,2476632,2025-10-02 13:30:00
12,12,257.8699951171875,258.1600036621094,257.375,257.510009765625,4612702,2025-10-02 14:30:00
13,13,257.510009765625,257.875,256.8800048828125,257.1400146484375,5100991,2025-10-02 15:30:00
14,14,254.6649932861328,259.0400085449219,253.9600067138672,257.8500061035156,16311886,2025-10-03 09:30:00
15,15,257.8599853515625,258.739990234375,257.5199890136719,258.510009765625,4452948,2025-10-03 10:30:00
16,16,258.4930114746094,259.239990234375,258.2571105957031,258.5487060546875,4828730,2025-10-03 11:30:00
17,17,258.5400085449219,258.92999267578125,258.1199951171875,258.30999755859375,3408741,2025-10-03 12:30:00
18,18,258.29998779296875,258.5899963378906,256.9599914550781,258.3699951171875,5459239,2025-10-03 13:30:00
19,19,258.3699951171875,258.5849914550781,257.8500061035156,257.9200134277344,3050327,2025-10-03 14:30:00
20,20,257.9200134277344,258.260009765625,257.40350341796875,258.0150146484375,4468054,2025-10-03 15:30:00
21,21,257.94500732421875,259.07000732421875,255.0500030517578,257.7799987792969,11669158,2025-10-06 09:30:00
22,22,257.79998779296875,257.9800109863281,257.2799987792969,257.5513000488281,3447400,2025-10-06 10:30:00
23,23,257.56500244140625,257.6700134277344,256.7699890136719,257.1300048828125,3501833,2025-10-06 11:30:00
24,24,257.1300048828125,257.4800109863281,256.1304931640625,256.55999755859375,2877222,2025-10-06 12:30:00
25,25,256.54998779296875,256.68121337890625,255.5,256.18499755859375,5922536,2025-10-06 13:30:00
26,26,256.1802062988281,256.6600036621094,256.06500244140625,256.510009765625,2693724,2025-10-06 14:30:00
27,27,256.510009765625,257.25,256.4599914550781,256.6499938964844,3577742,2025-10-06 15:30:00
28,28,256.82000732421875,257.3999938964844,256.2799987792969,256.67999267578125,6425357,2025-10-07 09:30:00
29,29,256.6700134277344,257.10791015625,255.60000610351562,256.3789978027344,4531854,2025-10-07 10:30:00
30,30,256.3900146484375,256.84979248046875,255.88999938964844,256.3384094238281,3693772,2025-10-07 11:30:00
31,31,256.3299865722656,256.6600036621094,255.75430297851562,255.88999938964844,2335693,2025-10-07 12:30:00
32,32,255.86000061035156,256.1499938964844,255.42999267578125,256.06988525390625,2294433,2025-10-07 13:30:00
33,33,256.07000732421875,256.301513671875,255.91009521484375,256.0199890136719,2361474,2025-10-07 14:30:00
34,34,256.0199890136719,256.6199951171875,255.9199981689453,256.489990234375,3978516,2025-10-07 15:30:00
