entry_date,exit_date,entry_price,exit_price,entry_bull_score,entry_bear_score,entry_net_score,exit_bull_score,exit_bear_score,exit_net_score,return_pct,holding_days,exit_reason
2025-04-28,2025-05-05,210.14,198.89,63.0,0.0,63.0,33.0,35.0,-2.0,-0.05353573807937566,7,Stop Loss
2025-05-13,2025-05-21,212.93,202.09,73.0,8.0,65.0,41.0,31.0,10.0,-0.05090874935424789,8,Stop Loss
2025-06-06,2025-06-11,203.92,198.78,69.0,8.0,61.0,24.0,53.0,-29.0,-0.025205963122793187,5,Net Score Negative
2025-06-23,2025-07-29,201.5,211.27,73.0,8.0,65.0,0.0,65.0,-65.0,0.04848635235732015,36,Bearish Signal
2025-08-07,2025-08-25,220.03,227.16,73.0,8.0,65.0,0.0,61.0,-61.0,0.0324046720901695,18,Bearish Signal
2025-09-03,2025-09-10,238.47,226.79,65.0,0.0,65.0,0.0,70.0,-70.0,-0.048978907200067125,7,Bearish Signal
2025-09-19,2025-10-07,245.5,256.48,65.0,0.0,65.0,0.0,61.0,-61.0,0.04472505091649702,18,Bearish Signal
