Idx,Idx,Open,High,Low,Close,Volume,Date
0,0,153.0,153.4499969482422,150.52000427246094,152.91000366210938,26095900,2024-10-22 20:00:00
1,1,154.74000549316406,155.19000244140625,152.35000610351562,153.44000244140625,22877000,2024-10-23 20:00:00
2,2,155.39999389648438,158.91000366210938,155.0500030517578,156.22999572753906,29758500,2024-10-24 20:00:00
3,3,158.5,160.27999877929688,157.0399932861328,159.9199981689453,36010100,2024-10-27 20:00:00
4,4,161.10000610351562,167.50999450683594,158.94000244140625,166.25,71896000,2024-10-28 20:00:00
5,5,153.00999450683594,153.1199951171875,148.10000610351562,148.60000610351562,87701700,2024-10-29 20:00:00
6,6,147.8000030517578,148.67999267578125,143.3300018310547,144.07000732421875,44386600,2024-10-30 20:00:00
7,7,144.44000244140625,144.5399932861328,141.32000732421875,141.86000061035156,39027400,2024-10-31 20:00:00
8,8,141.6999969482422,143.63999938964844,139.72000122070312,140.7100067138672,29117400,2024-11-03 19:00:00
9,9,141.94000244140625,143.0800018310547,140.8000030517578,141.66000366210938,27067300,2024-11-04 19:00:00
10,10,144.9499969482422,145.6300048828125,141.52000427246094,145.10000610351562,32911500,2024-11-05 19:00:00
11,11,146.67999267578125,150.1199951171875,145.66000366210938,149.82000732421875,30326400,2024-11-06 19:00:00
12,12,149.38999938964844,150.7100067138672,147.52999877929688,147.9499969482422,27560300,2024-11-07 19:00:00
13,13,147.3800048828125,148.57000732421875,144.91000366210938,147.35000610351562,29868100,2024-11-10 19:00:00
14,14,147.0,147.4499969482422,141.5500030517578,143.6300048828125,33560300,2024-11-11 19:00:00
15,15,142.86000061035156,144.49000549316406,139.07000732421875,139.3000030517578,35146600,2024-11-12 19:00:00
16,16,140.33999633789062,141.39999389648438,138.55999755859375,138.83999633789062,31681400,2024-11-13 19:00:00
17,17,136.57000732421875,137.35000610351562,133.64999389648438,134.89999389648438,44217500,2024-11-14 19:00:00
18,18,138.19000244140625,140.89999389648438,137.2100067138672,138.92999267578125,38705400,2024-11-17 19:00:00
19,19,137.41000366210938,139.75,137.13999938964844,139.38999938964844,23131400,2024-11-18 19:00:00
20,20,138.9600067138672,140.77000427246094,135.47999572753906,137.60000610351562,28843100,2024-11-19 19:00:00
21,21,138.8699951171875,140.27999877929688,134.92999267578125,137.49000549316406,29311400,2024-11-20 19:00:00
22,22,137.35000610351562,139.1300048828125,137.0399932861328,138.35000610351562,21784700,2024-11-21 19:00:00
23,23,140.49000549316406,142.35000610351562,139.0500030517578,141.1300048828125,30923100,2024-11-24 19:00:00
24,24,142.5500030517578,142.8000030517578,136.6199951171875,137.72000122070312,32092400,2024-11-25 19:00:00
25,25,137.1999969482422,137.94000244140625,132.9600067138672,136.24000549316406,30175300,2024-11-26 19:00:00
26,26,136.24000549316406,138.58999633789062,135.77999877929688,137.17999267578125,16085700,2024-11-28 19:00:00
27,27,137.9199981689453,142.82000732421875,137.8000030517578,142.05999755859375,33102400,2024-12-01 19:00:00
28,28,142.5800018310547,143.4499969482422,141.0800018310547,141.97999572753906,22665300,2024-12-02 19:00:00
29,29,142.9600067138672,144.1199951171875,141.17999267578125,143.99000549316406,25942700,2024-12-03 19:00:00
30,30,143.67999267578125,143.9499969482422,140.3800048828125,141.36000061035156,29576900,2024-12-04 19:00:00
31,31,141.47999572753906,142.7899932861328,137.39999389648438,138.58999633789062,33576800,2024-12-05 19:00:00
32,32,135.7100067138672,135.77000427246094,130.0,130.8699951171875,57055600,2024-12-08 19:00:00
33,33,131.55999755859375,131.55999755859375,127.06999969482422,127.73999786376953,38907200,2024-12-09 19:00:00
34,34,128.52000427246094,131.2100067138672,126.22000122070312,130.14999389648438,45588100,2024-12-10 19:00:00
35,35,130.0,132.32000732421875,129.07000732421875,130.60000610351562,34267100,2024-12-11 19:00:00
36,36,131.3000030517578,131.3000030517578,124.7699966430664,126.91000366210938,67544700,2024-12-12 19:00:00
37,37,126.01000213623047,127.76000213623047,123.12000274658203,126.69000244140625,42090300,2024-12-15 19:00:00
38,38,124.44999694824219,127.08000183105469,123.1500015258789,125.0199966430664,43314900,2024-12-16 19:00:00
39,39,125.43000030517578,127.75,120.43000030517578,121.41000366210938,49724400,2024-12-17 19:00:00
40,40,122.16000366210938,123.37999725341797,118.44999694824219,118.87999725341797,46160700,2024-12-18 19:00:00
41,41,118.0,121.86000061035156,117.9000015258789,119.20999908447266,53591200,2024-12-19 19:00:00
42,42,120.70999908447266,126.33999633789062,120.47000122070312,124.5999984741211,47777900,2024-12-22 19:00:00
43,43,127.51000213623047,127.51000213623047,124.66000366210938,126.29000091552734,24829600,2024-12-23 19:00:00
44,44,125.5199966430664,127.30000305175781,125.05000305175781,125.05999755859375,24998200,2024-12-25 19:00:00
45,45,124.37000274658203,126.18000030517578,122.26000213623047,125.19000244140625,32924000,2024-12-26 19:00:00
46,46,123.55999755859375,124.0999984741211,122.3499984741211,122.44000244140625,30501600,2024-12-29 19:00:00
47,47,123.0999984741211,123.55000305175781,120.13999938964844,120.79000091552734,30203400,2024-12-30 19:00:00
48,48,122.29000091552734,123.13999938964844,119.44000244140625,120.62999725341797,34256200,2025-01-01 19:00:00
49,49,121.6500015258789,125.55999755859375,121.41999816894531,125.37000274658203,36785300,2025-01-02 19:00:00
50,50,129.07000732421875,130.72999572753906,127.36000061035156,129.5500030517578,48020200,2025-01-05 19:00:00
51,51,130.50999450683594,131.7100067138672,126.8499984741211,127.33000183105469,39220400,2025-01-06 19:00:00
52,52,124.51000213623047,125.30000305175781,120.12000274658203,121.83999633789062,46723100,2025-01-07 19:00:00
53,53,118.18000030517578,118.70999908447266,114.44999694824219,116.04000091552734,59415600,2025-01-09 19:00:00
54,54,115.27999877929688,117.4800033569336,114.41000366210938,117.31999969482422,39128900,2025-01-12 19:00:00
55,55,118.0,118.66000366210938,114.5,116.08999633789062,37005300,2025-01-13 19:00:00
56,56,117.55000305175781,120.41999816894531,117.45999908447266,119.95999908447266,38185800,2025-01-14 19:00:00
57,57,120.23999786376953,121.08999633789062,118.25,118.44000244140625,29414100,2025-01-15 19:00:00
58,58,120.77999877929688,122.73999786376953,120.55000305175781,121.45999908447266,35765900,2025-01-16 19:00:00
59,59,122.38999938964844,123.75,121.12000274658203,122.27999877929688,31578800,2025-01-20 19:00:00
60,60,123.08000183105469,125.6500015258789,121.91000366210938,123.75,35023800,2025-01-21 19:00:00
61,61,121.43000030517578,123.70999908447266,120.62999725341797,123.04000091552734,24921100,2025-01-22 19:00:00
62,62,124.55000305175781,125.25,122.2300033569336,122.83999633789062,31570300,2025-01-23 19:00:00
63,63,117.80000305175781,118.08000183105469,112.80000305175781,115.01000213623047,61067900,2025-01-26 19:00:00
64,64,115.18000030517578,116.1500015258789,112.94999694824219,114.16999816894531,40554800,2025-01-27 19:00:00
65,65,115.7699966430664,118.5199966430664,114.95999908447266,117.3499984741211,40199100,2025-01-28 19:00:00
66,66,118.52999877929688,120.44000244140625,117.08999633789062,118.86000061035156,29788400,2025-01-29 19:00:00
67,67,119.13999938964844,119.56999969482422,115.33000183105469,115.94999694824219,40463400,2025-01-30 19:00:00
68,68,113.87999725341797,115.16000366210938,112.9800033569336,114.2699966430664,34586100,2025-02-02 19:00:00
69,69,115.44999694824219,119.8499984741211,114.79000091552734,119.5,69412100,2025-02-03 19:00:00
70,70,107.61000061035156,112.08999633789062,106.5,112.01000213623047,110385200,2025-02-04 19:00:00
71,71,110.93000030517578,112.55999755859375,109.0199966430664,110.16000366210938,50426600,2025-02-05 19:00:00
72,72,109.12999725341797,109.91999816894531,106.79000091552734,107.55999755859375,46082500,2025-02-06 19:00:00
73,73,108.44000244140625,111.4000015258789,108.1500015258789,110.4800033569336,34905400,2025-02-09 19:00:00
74,74,108.9800033569336,113.06999969482422,108.94000244140625,111.0999984741211,35033800,2025-02-10 19:00:00
75,75,109.5199966430664,111.83999633789062,109.05999755859375,111.72000122070312,25319700,2025-02-11 19:00:00
76,76,112.0,114.5999984741211,110.4000015258789,111.80999755859375,40911800,2025-02-12 19:00:00
77,77,112.6500015258789,114.62999725341797,111.69999694824219,113.0999984741211,32477200,2025-02-13 19:00:00
78,78,114.05000305175781,115.55000305175781,113.44999694824219,114.27999877929688,31720300,2025-02-17 19:00:00
79,79,114.25,116.11000061035156,113.13999938964844,114.69000244140625,28807700,2025-02-18 19:00:00
80,80,115.01000213623047,116.55000305175781,113.11000061035156,114.16999816894531,27219600,2025-02-19 19:00:00
81,81,114.8499984741211,115.76000213623047,110.43000030517578,110.83999633789062,41353700,2025-02-20 19:00:00
82,82,111.48999786376953,111.5999984741211,107.9800033569336,108.11000061035156,29072200,2025-02-23 19:00:00
83,83,107.88999938964844,108.63999938964844,103.62000274658203,103.95999908447266,39169200,2025-02-24 19:00:00
84,84,104.94999694824219,105.80000305175781,103.98999786376953,104.73999786376953,29178200,2025-02-25 19:00:00
85,85,105.08000183105469,105.76000213623047,99.5,99.51000213623047,47263700,2025-02-26 19:00:00
86,86,99.55999755859375,101.80000305175781,98.69000244140625,99.86000061035156,45194600,2025-02-27 19:00:00
87,87,101.5199966430664,102.33999633789062,97.08999633789062,98.2300033569336,38958000,2025-03-02 19:00:00
88,88,96.0,103.18000030517578,95.88999938964844,100.75,54156900,2025-03-03 19:00:00
89,89,100.36000061035156,101.83999633789062,98.87000274658203,101.66999816894531,27855500,2025-03-04 19:00:00
90,90,99.05000305175781,101.08000183105469,98.2699966430664,98.8499984741211,28985000,2025-03-05 19:00:00
91,91,98.87999725341797,100.6500015258789,96.38999938964844,100.30999755859375,33254400,2025-03-06 19:00:00
92,92,98.56999969482422,101.29000091552734,95.83000183105469,96.62999725341797,38733200,2025-03-09 20:00:00
93,93,96.79000091552734,98.16000366210938,94.7300033569336,96.76000213623047,34078300,2025-03-10 20:00:00
94,94,99.05000305175781,101.72000122070312,98.16999816894531,100.79000091552734,34241300,2025-03-11 20:00:00
95,95,99.72000122070312,100.06999969482422,97.2699966430664,98.11000061035156,28575200,2025-03-12 20:00:00
96,96,99.63999938964844,101.22000122070312,99.58000183105469,100.97000122070312,24715300,2025-03-13 20:00:00
97,97,102.5999984741211,106.1500015258789,102.5999984741211,104.58999633789062,43689500,2025-03-16 20:00:00
98,98,103.8499984741211,104.55000305175781,102.97000122070312,103.51000213623047,27152800,2025-03-17 20:00:00
99,99,104.41999816894531,107.9000015258789,101.95999908447266,106.2300033569336,32287500,2025-03-18 20:00:00
100,100,105.12000274658203,108.26000213623047,105.12000274658203,107.13999938964844,26871800,2025-03-19 20:00:00
101,101,105.33000183105469,107.25,104.33000183105469,106.44000244140625,30767900,2025-03-20 20:00:00
102,102,109.7300033569336,114.8499984741211,109.4000015258789,113.8499984741211,53342000,2025-03-23 20:00:00
103,103,113.2699966430664,114.94999694824219,112.70999908447266,114.80999755859375,29077500,2025-03-24 20:00:00
104,104,114.11000061035156,115.9000015258789,108.68000030517578,110.19000244140625,39824000,2025-03-25 20:00:00
105,105,106.11000061035156,107.62000274658203,105.55000305175781,106.6500015258789,32773700,2025-03-26 20:00:00
106,106,105.52999877929688,106.51000213623047,102.4800033569336,103.22000122070312,31069100,2025-03-27 20:00:00
107,107,100.23999786376953,102.81999969482422,98.80000305175781,102.73999786376953,30865300,2025-03-30 20:00:00
108,108,102.16000366210938,102.83000183105469,100.93000030517578,102.77999877929688,23523200,2025-03-31 20:00:00
109,109,101.5199966430664,104.19000244140625,100.76000213623047,102.95999908447266,20794000,2025-04-01 20:00:00
110,110,97.79000091552734,99.44999694824219,93.63999938964844,93.80000305175781,50472500,2025-04-02 20:00:00
111,111,90.0999984741211,91.08000183105469,83.66999816894531,85.76000213623047,65847000,2025-04-03 20:00:00
112,112,80.68000030517578,89.0,77.75,83.63999938964844,70515400,2025-04-06 20:00:00
113,113,86.1500015258789,88.93000030517578,76.4800033569336,78.20999908447266,69910200,2025-04-07 20:00:00
114,114,79.22000122070312,97.91000366210938,78.87000274658203,96.83999633789062,97827400,2025-04-08 20:00:00
115,115,91.0,92.94999694824219,85.05999755859375,88.69999694824219,65210600,2025-04-09 20:00:00
116,116,90.51000213623047,94.76000213623047,90.5,93.4000015258789,57892600,2025-04-10 20:00:00
117,117,97.11000061035156,97.37000274658203,93.44999694824219,94.5,36003000,2025-04-13 20:00:00
118,118,94.66000366210938,96.8499984741211,94.62000274658203,95.29000091552734,28116500,2025-04-14 20:00:00
119,119,87.61000061035156,90.47000122070312,85.30000305175781,88.29000091552734,62109000,2025-04-15 20:00:00
120,120,88.83999633789062,89.02999877929688,86.5199966430664,87.5,34801400,2025-04-16 20:00:00
121,121,86.0199966430664,86.13999938964844,83.75,85.55999755859375,33855400,2025-04-20 20:00:00
122,122,86.12000274658203,87.16999816894531,85.16999816894531,86.26000213623047,35236700,2025-04-21 20:00:00
123,123,91.87999725341797,93.73999786376953,90.12000274658203,90.38999938964844,41102600,2025-04-22 20:00:00
124,124,91.58999633789062,94.75,90.37000274658203,94.47000122070312,33681900,2025-04-23 20:00:00
125,125,93.27999877929688,97.0999984741211,92.8499984741211,96.6500015258789,28575300,2025-04-24 20:00:00
126,126,95.58000183105469,97.48999786376953,94.2699966430664,96.38999938964844,30456700,2025-04-27 20:00:00
127,127,95.76000213623047,97.18000030517578,95.33000183105469,96.05999755859375,20700600,2025-04-28 20:00:00
128,128,92.80999755859375,97.55000305175781,91.87000274658203,97.3499984741211,29730700,2025-04-29 20:00:00
129,129,99.2699966430664,100.0999984741211,96.44999694824219,96.6500015258789,29591500,2025-04-30 20:00:00
130,130,98.4000015258789,99.87999725341797,98.30000305175781,98.80000305175781,29957900,2025-05-01 20:00:00
131,131,99.0,102.05000305175781,98.76000213623047,100.58999633789062,41268900,2025-05-04 20:00:00
132,132,98.41000366210938,100.06999969482422,97.44000244140625,98.62000274658203,54264300,2025-05-05 20:00:00
133,133,100.75,103.41999816894531,96.87999725341797,100.36000061035156,86474400,2025-05-06 20:00:00
134,134,101.91999816894531,105.44000244140625,101.55999755859375,101.69999694824219,54231400,2025-05-07 20:00:00
135,135,102.58999633789062,103.54000091552734,101.5999984741211,102.83999633789062,31704300,2025-05-08 20:00:00
